Recency,Frequency,Monetary,Cluster
27,7,964.4,0
636,1,110.5,0
126,7,1486.6200000000001,0
69,3,1541.6,0
6,7,1318.66,0
434,2,753.51,0
28,3,769.29,0
589,1,285.95,0
417,1,569.76,0
7,4,4426.775,1
79,6,2286.33,1
19,1,208.5,0
70,4,937.0,0
6,8,1609.95,0
14,14,4426.775,1
291,1,552.52,0
29,16,4426.775,1
14,16,4426.775,1
96,3,1054.87,0
611,2,1219.35,0
28,16,4426.775,1
0,1,790.35,0
8,12,4426.775,1
105,1,288.86,0
3,2,990.67,0
150,3,1061.96,0
70,1,212.35,0
4,2,581.0500000000001,0
2,16,4426.775,1
31,8,3645.07,1
84,4,914.95,0
3,5,658.36,0
4,7,2115.13,0
370,4,2138.39,0
27,11,3148.59,1
10,10,4426.775,1
70,5,932.37,0
113,1,420.71000000000004,0
521,1,733.4,0
23,16,4426.775,1
179,1,219.51000000000002,0
233,4,2231.07,1
352,3,496.65,0
314,2,652.5699999999999,0
332,1,142.44,0
498,2,15.0,0
371,1,280.8,0
77,4,1859.47,0
63,1,412.75,0
528,2,243.57,0
625,1,1091.9,0
133,2,515.23,0
51,11,4426.775,1
486,3,622.35,0
540,1,253.65,0
1,16,4426.775,1
0,16,4426.775,1
3,9,4426.775,1
128,1,259.98,0
444,1,268.27,0
80,1,2715.29,1
22,6,4426.775,1
235,3,311.64,0
280,11,1303.81,0
86,1,73.83,0
15,13,4000.76,1
116,7,4426.775,1
51,8,4426.775,1
455,1,332.8,0
457,2,679.95,0
7,2,1458.35,0
137,2,718.46,0
316,1,1432.88,0
471,6,1253.1299999999999,0
3,9,4426.775,1
375,1,891.0500000000001,0
450,1,160.71,0
238,1,1079.4,0
210,2,1765.11,0
485,1,229.5,0
59,1,750.3199999999999,0
563,1,75.94999999999999,0
535,1,91.2,0
16,7,1539.38,0
667,1,35.0,0
457,1,441.72,0
19,9,1534.1299999999999,0
37,14,4426.775,1
598,1,302.46,0
63,2,719.76,0
4,11,4002.58,1
1,6,1349.13,0
8,3,1582.65,0
363,3,883.2,0
609,1,646.0,0
9,4,822.9399999999999,0
462,4,414.9,0
64,3,193.5,0
191,2,515.25,0
373,6,587.53,0
256,2,726.51,0
334,3,871.08,0
52,2,844.26,0
18,1,302.13,0
627,1,330.9,0
365,2,709.0600000000001,0
9,4,420.14,0
528,1,209.9,0
469,3,522.75,0
500,1,814.73,0
186,7,2165.27,0
392,1,996.96,0
465,2,319.21999999999997,0
381,4,1273.75,0
434,4,1568.61,0
382,1,244.1,0
36,5,860.65,0
177,3,1386.44,0
534,2,508.74,0
260,5,921.65,0
44,1,229.64000000000001,0
501,3,1287.35,0
101,1,55.83,0
147,2,853.11,0
95,2,423.40000000000003,0
280,3,593.48,0
261,1,527.94,0
457,1,446.04,0
2,11,2581.52,1
213,2,218.8,0
70,2,880.08,0
74,16,3323.7,1
59,1,391.42,0
520,2,417.78,0
2,12,2861.76,1
5,3,430.15000000000003,0
2,6,999.46,0
336,3,189.51,0
37,6,1114.5600000000002,0
261,3,405.09,0
31,2,381.53,0
144,1,389.53000000000003,0
282,1,306.08000000000004,0
427,16,4426.775,1
58,15,4426.775,1
172,2,604.21,0
33,10,3091.05,1
2,16,4426.775,1
143,7,3886.23,1
4,16,4426.775,1
69,4,1430.69,0
65,16,4426.775,1
28,4,633.02,0
266,4,165.64000000000001,0
681,1,7.5,0
21,2,1440.24,0
675,1,199.3,0
30,6,2735.64,1
445,1,89.1,0
96,2,256.48,0
294,1,294.15000000000003,0
134,11,3454.05,1
78,7,2792.7000000000003,1
372,4,460.19,0
7,6,2112.13,0
210,6,3261.5,1
382,1,162.76999999999998,0
458,1,560.55,0
692,1,49.22,0
619,1,62.099999999999994,0
425,2,935.99,0
51,6,2072.03,0
137,2,90.25999999999999,0
25,4,3151.73,1
282,3,1119.02,0
25,13,4426.775,1
185,8,2226.31,1
681,1,314.41999999999996,0
374,3,1428.51,0
83,3,467.66999999999996,0
326,12,3572.89,1
281,3,1706.26,0
384,2,861.98,0
142,5,81.27,0
57,4,3308.27,1
3,16,2923.71,1
235,2,854.09,0
44,3,374.02,0
381,2,622.28,0
275,1,106.5,0
8,2,1334.25,0
24,4,655.37,0
87,1,152.25,0
62,3,1112.22,0
67,2,1307.97,0
383,1,209.70000000000002,0
213,2,307.92,0
380,4,366.06,0
23,2,697.71,0
185,11,113.94000000000001,0
396,1,260.03000000000003,0
30,1,188.14,0
574,1,133.95,0
41,2,357.55,0
204,4,453.90000000000003,0
463,2,182.94,0
413,1,307.35,0
421,1,320.58,0
8,16,3007.62,1
264,1,117.78,0
428,1,826.08,0
17,2,454.48,0
576,2,922.3100000000001,0
11,5,1952.85,0
395,2,463.71000000000004,0
175,5,79.92,0
39,8,2354.57,1
22,13,4426.775,1
551,1,1513.66,0
2,5,1337.04,0
4,13,3860.95,1
400,1,120.47999999999999,0
148,4,1060.2,0
138,7,4027.7,1
127,6,2540.25,1
625,1,7.5,0
7,6,1259.44,0
16,4,463.6,0
8,16,4426.775,1
160,1,398.36,0
63,3,721.67,0
87,12,1588.21,0
4,3,704.8299999999999,0
410,4,1516.71,0
394,1,187.85999999999999,0
34,12,4012.26,1
311,1,100.95,0
77,2,408.45,0
21,16,4426.775,1
538,8,1465.3700000000001,0
23,8,1586.32,0
736,1,99.03,0
1,15,4110.65,1
16,4,1014.5,0
14,9,2943.5099999999998,1
25,1,108.05,0
63,16,4426.775,1
54,2,812.1,0
723,1,348.24,0
130,3,859.85,0
557,2,389.05,0
35,2,579.81,0
287,2,843.5600000000001,0
436,1,316.3,0
143,6,1709.06,0
15,9,2239.58,1
30,16,4426.775,1
1,3,764.26,0
8,15,3169.57,1
5,4,1294.78,0
9,2,763.71,0
638,1,151.95,0
0,11,4183.48,1
305,4,504.90000000000003,0
9,13,4426.775,1
399,2,504.39,0
483,1,117.0,0
413,4,1198.78,0
378,1,205.9,0
6,2,255.89000000000001,0
7,12,3513.96,1
436,1,129.99,0
88,1,740.21,0
9,1,155.18,0
357,3,3009.82,1
111,1,133.5,0
602,1,117.2,0
6,10,1443.29,0
3,16,4426.775,1
413,4,1058.94,0
413,1,100.05000000000001,0
197,2,390.8,0
436,6,1953.0,0
211,8,2720.72,1
155,4,369.03000000000003,0
384,5,2461.58,1
728,1,411.84000000000003,0
157,16,4426.775,1
29,2,372.21999999999997,0
242,8,2652.96,1
597,1,423.42,0
18,1,97.5,0
0,2,1123.58,0
428,10,2349.84,1
73,5,1170.41,0
291,1,488.17,0
2,16,4426.775,1
30,7,920.4,0
22,3,693.1700000000001,0
724,1,93.35000000000001,0
22,8,1236.19,0
3,3,932.52,0
84,1,158.49,0
375,1,310.65,0
21,8,1981.6000000000001,0
492,3,777.0500000000001,0
195,3,383.88,0
106,4,962.11,0
3,16,4426.775,1
317,3,409.68,0
105,3,122.80000000000001,0
11,16,4426.775,1
173,4,907.83,0
55,1,64.02,0
579,1,153.6,0
322,3,584.0799999999999,0
672,1,210.6,0
373,2,299.37,0
371,1,101.10000000000001,0
8,11,2888.0,1
0,16,4426.775,1
10,11,4426.775,1
52,11,4426.775,1
72,3,746.84,0
6,1,114.75,0
15,16,4426.775,1
378,6,1215.8500000000001,0
562,2,614.96,0
3,16,4426.775,1
429,1,57.8,0
63,3,1216.03,0
470,2,518.52,0
731,1,259.58000000000004,0
0,9,1279.96,0
113,16,935.2800000000001,0
22,2,631.8,0
30,5,805.0,0
10,2,1107.3700000000001,0
406,5,3294.3,1
51,9,2592.6,1
356,2,220.55,0
54,3,912.33,0
73,3,1117.1100000000001,0
684,1,210.0,0
137,12,3780.02,1
79,3,906.46,0
583,4,934.03,0
8,2,676.99,0
450,4,781.58,0
597,3,1487.64,0
272,1,332.33,0
290,11,4378.52,1
98,3,802.67,0
30,3,847.75,0
31,16,4426.775,1
13,9,3993.9700000000003,1
63,4,1045.14,0
14,16,4426.775,1
578,2,110.55,0
211,7,3040.52,1
621,1,123.65,0
77,4,2255.59,1
550,1,182.67,0
529,3,583.63,0
24,3,268.95000000000005,0
249,10,2118.65,0
253,1,303.93,0
71,1,245.31,0
190,1,243.87,0
480,1,188.4,0
12,6,1481.98,0
372,5,1211.46,0
23,2,432.75,0
81,3,493.11,0
9,2,92.88,0
0,16,4426.775,1
191,4,745.85,0
611,1,108.22,0
266,1,177.15,0
410,2,383.93,0
510,4,744.84,0
129,1,798.24,0
457,1,135.4,0
0,11,2975.56,1
2,16,4426.775,1
3,6,419.18,0
178,4,275.83,0
11,16,4426.775,1
125,16,3214.12,1
3,3,344.28,0
491,1,45.9,0
157,8,2337.48,1
382,1,434.53000000000003,0
725,1,285.54,0
416,1,216.76,0
2,16,4426.775,1
8,16,4426.775,1
27,3,903.0,0
70,12,2003.43,0
275,16,4426.775,1
20,13,1063.89,0
70,1,68.31,0
393,1,45.0,0
32,16,4426.775,1
0,16,4426.775,1
98,1,19.439999999999998,0
233,4,638.74,0
0,16,4426.775,1
39,3,697.64,0
2,9,1309.2,0
435,1,19.439999999999998,0
132,2,315.02,0
43,9,4264.12,1
372,2,918.67,0
59,3,1115.91,0
30,12,2743.2200000000003,1
718,1,317.47,0
540,1,20.6,0
0,16,4426.775,1
730,1,216.43,0
11,10,4426.775,1
137,1,448.79,0
21,16,2530.11,1
19,9,2295.08,1
668,1,134.9,0
238,1,30.599999999999998,0
268,1,279.2,0
93,2,894.66,0
472,2,494.5,0
89,4,4373.74,1
523,1,141.18,0
4,13,3854.11,1
77,1,259.17,0
630,1,202.5,0
451,2,194.97,0
93,1,64.0,0
22,7,3103.12,1
261,1,75.3,0
273,3,182.60000000000002,0
85,6,2274.07,1
196,2,272.94,0
55,13,4426.775,1
10,16,4426.775,1
21,7,1459.29,0
15,8,4426.775,1
107,5,1117.68,0
84,16,4426.775,1
18,1,272.44,0
584,1,401.1,0
332,2,109.1,0
39,7,641.07,0
25,1,228.91,0
9,4,504.90000000000003,0
28,16,4426.775,1
13,4,1535.43,0
483,3,248.24,0
295,3,2303.59,1
416,7,2051.13,0
5,1,332.43,0
398,3,1521.34,0
32,6,1707.58,0
384,3,1511.56,0
48,9,4426.775,1
94,5,1506.29,0
8,4,1399.96,0
21,1,90.89999999999999,0
312,2,453.68,0
121,16,4426.775,1
609,1,17.65,0
568,2,264.1,0
45,3,877.73,0
282,2,815.1,0
18,5,989.95,0
35,5,1809.56,0
63,3,689.26,0
26,1,114.3,0
21,3,366.51,0
399,1,39.15,0
3,11,2471.51,1
15,12,4426.775,1
581,2,738.15,0
45,1,430.35,0
64,2,512.2,0
25,16,4426.775,1
618,1,572.3100000000001,0
606,1,85.2,0
380,1,359.69,0
44,1,121.18,0
7,15,4426.775,1
14,10,1620.18,0
267,1,71.4,0
39,3,1555.73,0
336,4,352.51,0
10,1,107.10000000000001,0
18,2,224.25,0
543,3,369.42,0
657,1,163.69,0
94,6,2483.1,1
60,1,108.42999999999999,0
135,2,372.46,0
413,1,169.93,0
10,7,2935.7400000000002,1
609,1,308.11,0
9,8,4426.775,1
3,16,4426.775,1
18,4,782.59,0
501,4,1186.68,0
393,7,1454.75,0
9,10,2559.95,1
730,1,911.96,0
442,1,202.5,0
399,13,4426.775,1
14,4,535.86,0
58,9,1902.45,0
29,13,4426.775,1
93,1,327.02,0
9,10,2016.23,0
19,3,708.73,0
56,11,3380.65,1
417,7,3174.28,1
401,1,22.95,0
267,1,149.28,0
121,4,245.34,0
126,1,62.42999999999999,0
617,1,76.23,0
77,5,1226.39,0
239,2,773.21,0
576,1,79.65,0
199,6,417.33000000000004,0
59,2,1993.89,0
2,16,4426.775,1
272,2,304.76,0
201,1,257.7,0
80,1,96.66,0
225,1,153.15,0
3,16,4426.775,1
12,7,1235.72,0
73,4,1073.97,0
672,2,345.8,0
211,1,987.27,0
24,2,693.3100000000001,0
387,1,634.1,0
16,6,912.84,0
261,5,1474.67,0
95,8,1714.33,0
411,1,114.58,0
111,7,699.4,0
202,5,1203.59,0
92,1,117.29,0
50,2,916.87,0
17,11,2661.45,1
17,4,489.57000000000005,0
124,2,452.24,0
91,9,673.98,0
460,2,256.04,0
401,1,252.68,0
393,2,333.25,0
156,4,2122.26,0
375,1,51.410000000000004,0
8,3,649.0600000000001,0
13,1,0.0,0
435,1,111.95,0
11,5,973.5799999999999,0
61,9,1345.98,0
60,1,400.32,0
268,2,868.5,0
262,3,534.3000000000001,0
0,16,4426.775,1
442,1,702.0600000000001,0
52,5,1633.95,0
10,16,4426.775,1
2,16,4426.775,1
17,11,3046.02,1
0,16,4426.775,1
365,1,159.3,0
36,1,217.38,0
30,2,250.66000000000003,0
112,1,136.37,0
408,1,333.85,0
383,2,234.21,0
63,5,1837.3600000000001,0
15,7,500.79999999999995,0
40,4,1330.75,0
77,1,137.75,0
121,7,2121.04,0
438,1,350.22,0
17,4,1237.99,0
59,4,367.06,0
330,1,186.24,0
22,6,3289.09,1
599,1,660.86,0
602,3,766.39,0
442,5,457.26,0
723,1,280.35,0
437,1,7.5,0
155,11,3145.55,1
38,5,911.73,0
391,6,1145.69,0
189,3,1612.98,0
359,4,1089.22,0
136,6,768.18,0
7,7,3439.86,1
0,1,191.25,0
267,3,1108.5,0
168,3,1193.21,0
103,4,598.19,0
154,2,90.0,0
399,1,59.269999999999996,0
350,4,1140.35,0
3,16,3392.34,1
429,1,53.65,0
119,3,255.19,0
22,4,1548.51,0
6,6,1690.6,0
27,5,1513.1000000000001,0
3,2,528.82,0
450,1,124.75,0
21,12,3388.48,1
1,3,749.19,0
688,1,307.65000000000003,0
36,10,4426.775,1
65,16,4426.775,1
0,3,580.42,0
4,16,4426.775,1
77,6,2228.1,1
71,2,326.81,0
16,1,199.48000000000002,0
2,5,698.6,0
35,16,4426.775,1
81,1,609.0,0
431,1,271.26,0
38,16,4426.775,1
315,1,739.23,0
31,8,3471.9,1
92,6,2644.24,1
401,1,176.7,0
13,1,345.9,0
410,3,960.51,0
81,5,4426.775,1
76,1,783.13,0
545,1,1433.32,0
157,4,2072.12,0
200,1,799.42,0
44,12,4426.775,1
260,1,723.55,0
177,1,305.93,0
67,3,2038.82,0
287,1,337.20000000000005,0
462,6,250.65,0
69,1,263.21999999999997,0
63,1,233.76,0
10,1,204.82,0
15,2,802.77,0
65,1,331.44,0
59,1,353.67999999999995,0
70,1,731.5,0
121,1,643.95,0
79,1,698.59,0
256,5,3626.44,1
268,1,382.74,0
63,2,942.76,0
431,4,1422.58,0
471,2,1416.75,0
8,7,4426.775,1
17,3,1613.01,0
70,1,134.95999999999998,0
33,2,2078.87,0
49,1,10.530000000000001,0
431,1,423.6,0
256,4,1006.11,0
365,1,509.26000000000005,0
371,1,1435.16,0
504,2,2020.3600000000001,0
89,1,327.54,0
60,6,4426.775,1
414,2,372.3,0
88,2,1423.51,0
98,3,879.3100000000001,0
396,2,1361.05,0
25,3,566.36,0
432,1,62.4,0
31,12,4426.775,1
280,5,1378.33,0
543,1,28.62,0
30,11,4426.775,1
329,1,478.07,0
413,2,726.86,0
416,1,186.54,0
130,3,1077.9,0
10,3,768.16,0
74,1,462.18,0
203,1,30.0,0
676,1,91.14,0
583,4,1095.29,0
1,16,4426.775,1
184,3,1015.17,0
28,2,1272.15,0
72,10,2703.25,1
191,2,647.5,0
463,3,264.9,0
582,1,308.13,0
126,4,1511.04,0
17,3,207.75,0
0,2,252.49,0
73,6,1022.991,0
426,2,400.38,0
578,3,2059.22,0
1,16,4426.775,1
23,9,1578.04,0
106,1,211.10000000000002,0
619,1,446.65,0
639,6,247.42,0
133,6,1264.23,0
472,4,721.77,0
43,3,924.8000000000001,0
4,6,1587.34,0
11,16,4426.775,1
63,1,221.06,0
149,2,140.1,0
39,8,3853.62,1
63,1,2526.15,1
428,1,214.57999999999998,0
449,1,570.77,0
107,5,3087.81,1
0,16,4426.775,1
18,6,940.49,0
9,3,495.58000000000004,0
10,4,926.52,0
18,2,641.66,0
66,8,2815.69,1
570,2,431.75,0
500,4,600.42,0
73,5,1183.68,0
4,9,3671.28,1
1,1,166.04,0
13,7,3092.06,1
546,1,46.5,0
254,3,930.31,0
422,7,1271.8500000000001,0
91,2,652.55,0
666,3,321.74,0
448,6,1082.34,0
373,2,627.05,0
625,1,210.92999999999998,0
429,11,3453.76,1
22,3,1109.19,0
16,13,4426.775,1
23,1,291.88,0
26,13,3007.52,1
25,11,4426.775,1
258,3,45.0,0
165,3,744.89,0
640,1,219.87,0
24,6,2655.73,1
17,6,1516.72,0
688,2,148.22,0
6,16,4426.775,1
624,2,1119.04,0
28,2,183.44,0
38,6,2257.48,1
252,5,1147.45,0
57,6,2962.9900000000002,1
445,2,790.36,0
183,5,952.08,0
10,2,1036.81,0
1,16,4426.775,1
652,1,77.5,0
98,2,165.0,0
0,4,2454.18,1
463,2,592.24,0
60,8,2218.89,1
235,3,624.69,0
190,4,1339.28,0
178,5,1672.52,0
37,11,2627.71,1
468,5,2060.71,0
200,4,811.99,0
416,2,604.23,0
45,11,3762.26,1
231,2,336.09,0
65,1,140.34,0
240,3,768.87,0
232,11,2784.5,1
77,3,1095.22,0
57,5,827.12,0
16,16,4426.775,1
104,4,234.03,0
653,1,115.8,0
51,16,4426.775,1
135,3,1239.24,0
274,2,200.04,0
311,1,307.44000000000005,0
7,10,4426.775,1
10,2,623.63,0
282,6,1309.83,0
729,1,268.07,0
17,5,888.45,0
22,4,1406.46,0
287,3,2739.32,1
16,5,712.85,0
70,6,1775.89,0
63,1,282.98,0
72,4,3600.23,1
315,5,1590.81,0
2,4,2364.48,1
243,2,271.0,0
8,8,906.49,0
0,11,4373.41,1
676,1,244.31,0
260,4,689.5400000000001,0
126,3,793.34,0
73,4,749.45,0
72,6,1239.8700000000001,0
20,4,1048.72,0
59,3,2070.88,0
85,1,635.55,0
77,2,329.41,0
58,11,4426.775,1
0,3,1067.6,0
29,1,125.80000000000001,0
32,6,4256.59,1
40,5,640.22,0
14,2,211.92000000000002,0
737,2,581.45,0
33,12,4426.775,1
78,2,251.06,0
633,1,394.43,0
204,6,1643.67,0
33,1,210.31,0
182,3,269.44,0
1,16,4426.775,1
402,1,75.0,0
0,7,3072.04,1
425,2,687.2,0
42,12,2973.78,1
85,7,1484.02,0
466,3,611.34,0
426,2,637.14,0
376,16,3925.62,1
633,2,1357.26,0
39,6,803.0,0
390,2,359.06,0
11,5,1035.54,0
407,1,172.08,0
95,3,841.71,0
25,8,966.5,0
382,1,334.18,0
318,2,228.45,0
65,16,4426.775,1
674,1,494.95,0
379,7,1517.63,0
73,13,4426.775,1
428,2,194.73000000000002,0
27,13,2961.7,1
5,4,591.11,0
512,2,148.5,0
6,1,174.37,0
215,11,1745.27,0
81,8,4426.775,1
83,2,507.01,0
143,16,4426.775,1
18,3,414.65,0
40,5,1700.59,0
427,4,1058.99,0
172,1,190.0,0
16,4,870.73,0
242,1,234.14,0
12,16,4426.775,1
205,1,1127.66,0
49,6,766.2,0
410,1,399.5,0
22,5,719.5699999999999,0
9,16,4426.775,1
24,11,3425.56,1
408,1,116.37,0
14,5,1472.6000000000001,0
405,1,75.3,0
308,2,271.98,0
389,2,239.68,0
155,2,1406.5710000000001,0
306,3,358.98,0
530,3,498.53,0
540,1,127.53,0
63,4,994.98,0
15,9,2420.94,1
14,6,956.99,0
10,16,4426.775,1
64,7,1893.54,0
35,4,212.01,0
107,14,4426.775,1
52,2,512.32,0
516,3,799.92,0
5,2,679.84,0
399,2,394.82,0
46,5,755.86,0
0,16,4426.775,1
311,2,381.69,0
44,4,1159.19,0
64,4,1002.49,0
25,1,159.44,0
658,1,533.42,0
386,2,489.82,0
28,3,243.89999999999998,0
39,2,1049.3600000000001,0
540,1,234.2,0
592,1,94.65,0
11,14,2068.28,0
88,10,3219.82,1
632,1,800.89,0
452,5,1024.8,0
23,6,2091.54,0
318,8,4426.775,1
567,2,264.2,0
39,8,1182.82,0
173,1,169.93,0
544,2,216.74,0
527,1,86.09,0
116,1,210.93,0
695,1,626.24,0
30,10,2271.3,1
387,1,330.9,0
596,1,273.36,0
252,2,646.39,0
58,7,1958.78,0
675,1,308.34000000000003,0
22,16,3508.29,1
4,7,1345.32,0
99,11,1353.79,0
24,8,3533.98,1
32,16,4426.775,1
67,4,2941.66,1
36,5,883.46,0
51,3,793.75,0
15,1,112.14,0
73,2,1093.46,0
610,1,371.25,0
640,5,764.95,0
215,4,482.22,0
